gh-acc-a,gh-sprRetina,gh-ar-hdn,chevron-right,scnd,chevron-right gh-sprRetina,gh-tb ui-autocomplete-input,ui-helper-hidden-accessible,ui-autocomplete ui-front ui-menu ui-widget ui-widget-content ui-corner-all,btn btn-prim gh-spr,gh-p,flgspr flaemp,gh-shipto-click-body-cnt,gh-spinner,gh-state,gh-status-icon,gh-btn,gh-modal__mask,gh-sprRetina gh-eb-arw gh-rvi-chevron,gh-acc-exp-a gh-acc-a2 gh-control,gh-flyout__mask,gh-eb-oa thrd,gh-eb-o,widgets-placeholder,clipped,textual-display page-title,textual-display brw-category-nav__title bold,textual-display brw-category-nav__link,textual-display brw-category-nav__link bold,section-title__title,seo-carousel__pill__title,textual-display brw-controls__count,brw-controls__filters,brw-river bwrvr,section-title__subtitle,section-title__cta-text,brw-product-card__image,textual-display bsig__title__text,textual-display bsig__product-review__count,textual-display bsig__price bsig__price--newprice,textual-display bsig__price bsig__price--usedprice,brw-product-card__signals__footer,textual-display bsig__price bsig__price--displayprice,textual-display clipped,textual-display bsig__generic bsig__previousPrice bold,bsig__recommended-text__progressbar__innerbar,textual-display bsig__recommended-text__text bold,brw-multimedia__item,textual-display,seo-footer-container,thrd gf-bar-a,gf-legal__privacy,adBanner ad ads adsbox doubleclick ad-placement ad-placeholder adbadge BannerAd
Skip to main content,,Shop by category,,Collectibles,,,,,,Daily Deals,,,,Loading...,,Ok,,,Expand Watch List,,Summary,,,breadcrumb,Books & Magazines,Shop by Category,"Books, Movies & Music",Books & Magazines,Shop by Format,Hardcover,,,,Free Shipping Included,See All,,"NFPA 70® Handbook with Tabs : 2023 Edition by National Fire Protection Association (NFPA) (2022, Hardcover)",(1),$52.85 New,$35.99 Used,,$16.81,was - US $26.39,|,,97%,,C-3po Books & magazines,,About eBay,Your Privacy Choices,
,,Enter your search keyword,,Antiques,,,,,,Help & Contact,,,,Loading...,,,,,Expand My eBay,,Recently Viewed,,,breadcrumb,,,Accessories,,Best Selling,Trade Paperback,,,,Free Shipping Included,See All,,"Harry Potter Paperback Boxset #1-7 by J. K. Rowling (2009, Hardcover)",(3),$29.24 New,$32.00 Used,,$8.88,was - US $19.95,36% off,,97%,,Kylo Ren Books & magazines,,Announcements,,
,,Additional site navigation,,Sports memorabilia,,,,,,Sell,,,,Loading...,,,,,Expand Cart,,Bids/Offers,,,,,,Antiquarian & Collectible,,Limited Time Deals,Paperback,,,,,,,"Desk Reference to the Diagnostic Criteria from DSM-5-TR by American Psychiatric Association (2022, Trade Paperback)",(7),$11.27 New,$15.95 Used,,$8.88,was - US $19.95,|,,97%,,Stormtrooper Books & magazines,,Community,,
,,,,Art,,,,,,,,,,,,,,,,,Watchlist,,,,,,Audiobooks,,Top Rated,Board Book,,,,,,,"Diagnostic and Statistical Manual of Mental Disorders DSM-5-TR by American Psychiatric Association (2022, Trade Paperback)",(22),$37.46 New,$14.99 Used,,$42.95,was - US $79.19,55% off,,98%,,C-3po Books & magazines,,Security Center,,
,,,,Computers & tablets,,,,,,,,,,,,,,,,,Purchase History,,,,,,Books,,More to explore,Ring/Wire Bound,,,,,,,"Designing Data-Intensive Applications : The Big Ideas Behind Reliable, Scalable, and Maintainable Systems by Martin Kleppmann (2017, Trade Paperback)",(17),$17.90 New,$6.65 Used,,$39.48,was - US $49.95,|,,94%,,Kylo Ren Books & magazines,,Seller Information Center,,
,,,,Cameras & photo,,,,,,,,,,,,,,,,,Buy Again,,,,,,Catalogs,,Shop by Format,Chapbook/Pamphlet,,,,,,,"Pmbok® Guide Ser.: Guide to the Project Management Body of Knowledge (PMBOK® Guide) - Seventh Edition and the Standard for Project Management (ENGLISH) by Project Management Institute (2021, Trade Paperback)",(12),$16.80 New,$12.99 Used,,$8.88,was - US $19.95,55% off,,95%,,Stormtrooper Books & magazines,,Policies,,
,,,,"TV, audio & surveillance",,,,,,,,,,,,,,,,,Selling,,,,,,Comic Books & Memorabilia,,Best Selling,Cloth Book,,,,,,,"Self Heal by Design : The Role of Micro-Organisms for Health by Barbara O'Neill (2018, Trade Paperback)",(22),$10.00 New,$9.12 Used,,$8.88,was - US $19.95,|,,100%,,,,Affiliates,,
,,,,Cell phones & accessories,,,,,,,,,,,,,,,,,Saved Searches,,,,,,Magazines,,Limited Time Deals,Bath Book,,,,,,,"Confronting the Presidents : No Spin Assessments from Washington to Biden by Bill O'Reilly and Martin Dugard (2024, Hardcover)",(1),$24.00 New,$9.23 Used,,$8.88,was - US $19.95,46% off,,100%,,,,Help & Contact,,
,,,,Women,,,,,,,,,,,,,,,,,Saved Sellers,,,,,,Tablets & eBook Readers,,Top Rated,Leather Bound,,,,,,,New 2025 Official Red Book Guide Of US Coins Price List Catalog Spiral Whitman,(215),$17.99 New,$4.53 Used,,$16.81,was - US $26.39,|,,97%,,,,Site Map,,
,,,,Men,,,,,,,,,,,,,,,,,Messages,,,,,,"Textbooks, Education & Reference",,More to explore,Flexi Bound,,,,,,,"Wyoming Homecoming: A Novel; Wyoming Men 1335620958, paperback, Diana Palmer 9z",(206),$11.99 New,$8.84 Used,,$8.88,was - US $19.95,21% off,,97%,,,,,,
,,,,Jewelry & watches,,,,,,,,,,,,,,,,,,,,,,,,,More to explore,Faux Leather Bound,,,,,,,Better Homes & Gardens Container Gardening Magazine/Back by Popular Demand 9z,(147),$16.46 New,$6.99 Used,,$8.88,was - US $19.95,|,,97%,,,,,,
,,,,Shoes,,,,,,,,,,,,,,,,,,,,,,,,,,Wall Map,,,,,,,1000 BCW Manga /Readers Digest 2 Mil Poly Bags 6 X 7 5/8 Archival Safe Acid Free,(69),$4.60 New,$1.83 Used,,$42.95,was - US $79.19,55% off,,98%,,,,,,
,,,,"Yard, garden & outdoor",,,,,,,,,,,,,,,,,,,,,,,,,,Hardcover,,,,,,,100 BCW Life Magazine Backing Boards Certified Acid Free 10 7/8 x 14 New Stock,(27),$9.28 New,$35.99 Used,,$39.48,was - US $49.95,|,,94%,,,,,,
,,,,Crafts,,,,,,,,,,,,,,,,,,,,,,,,,,Trade Paperback,,,,,,,"Criminal Mischief (A Stone Barrington Novel) - Paperback By Woods, Stuart 9z",(27),$13.00 New,$32.00 Used,,$8.88,was - US $19.95,55% off,,95%,,,,,,
,,,,Home improvement,,,,,,,,,,,,,,,,,,,,,,,,,,Paperback,,,,,,,"Jeffries, Sabrina : How to Woo a Reluctant Lady Book 9z",(22),$10.00 New,$15.95 Used,,$8.88,was - US $19.95,|,,100%,,,,,,
,,,,Pet supplies,,,,,,,,,,,,,,,,,,,,,,,,,,Board Book,,,,,,,Blind Tiger - Paperback By Sandra Brown  9z,(22),$3.18 New,$14.99 Used,,$8.88,was - US $19.95,55% off,,100%,,,,,,
,,,,GPS & Security Devices,,,,,,,,,,,,,,,,,,,,,,,,,,Ring/Wire Bound,,,,,,,"Scary Stories to Tell in the Dark Series by Alvin Schwartz (Paperback, 1981)",(1),$52.85 New,$6.65 Used,,,,|,,,,,,,,
,,,,Radar & Laser Detectors,,,,,,,,,,,,,,,,,,,,,,,,,,Chapbook/Pamphlet,,,,,,,"The 48 Laws of Power by Robert Greene (2000, Paperback)",(3),$29.24 New,$12.99 Used,,,,36% off,,,,,,,,
,,,,Care & Detailing,,,,,,,,,,,,,,,,,,,,,,,,,,Cloth Book,,,,,,,"Book of Enoch by Enoch (2017, Hardcover)",(7),$11.27 New,$9.12 Used,,,,|,,,,,,,,
,,,,Scooter Parts & Accessories,,,,,,,,,,,,,,,,,,,,,,,,,,Bath Book,,,,,,,"Atomic Habits : An Easy and Proven Way to Build Good Habits and Break Bad Ones by James Clear (2018, Hardcover)",(22),$37.46 New,$9.23 Used,,,,55% off,,,,,,,,
,,,,Guitar,,,,,,,,,,,,,,,,,,,,,,,,,,Leather Bound,,,,,,,"Forgiving What You Can't Forget : Discover How to Move on, Make Peace with Painful Memories, and Create a Life That's Beautiful Again by Lysa TerKeurst (2020, Hardcover)",(17),$17.90 New,$4.53 Used,,,,|,,,,,,,,
,,,,Pro audio equipment,,,,,,,,,,,,,,,,,,,,,,,,,,Flexi Bound,,,,,,,"Trading in the Zone : Master the Market with Confidence, Discipline, and a Winning Attitude by Mark Douglas (2001, Hardcover)",(12),$16.80 New,$8.84 Used,,,,55% off,,,,,,,,
,,,,String,,,,,,,,,,,,,,,,,,,,,,,,,,Faux Leather Bound,,,,,,,"Self Heal by Design : The Role of Micro-Organisms for Health by Barbara O'Neill (2018, Trade Paperback)",(22),$10.00 New,$6.99 Used,,,,|,,,,,,,,
,,,,Stage lighting & effects,,,,,,,,,,,,,,,,,,,,,,,,,,Wall Map,,,,,,,"Maybe Someday by Colleen Hoover (2014, Trade Paperback)",(1),$24.00 New,$1.83 Used,,,,46% off,,,,,,,,
,,,,Outdoor sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NFPA 70® Handbook with Tabs : 2023 Edition by National Fire Protection Association (NFPA) (2022, Hardcover)",(215),$17.99 New,,,,,|,,,,,,,,
,,,,Team sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Harry Potter Paperback Boxset #1-7 by J. K. Rowling (2009, Hardcover)",(206),$11.99 New,,,,,21% off,,,,,,,,
,,,,Exercise & fitness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Desk Reference to the Diagnostic Criteria from DSM-5-TR by American Psychiatric Association (2022, Trade Paperback)",(147),$16.46 New,,,,,|,,,,,,,,
,,,,Golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Diagnostic and Statistical Manual of Mental Disorders DSM-5-TR by American Psychiatric Association (2022, Trade Paperback)",(69),$4.60 New,,,,,55% off,,,,,,,,
,,,,Radio control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Designing Data-Intensive Applications : The Big Ideas Behind Reliable, Scalable, and Maintainable Systems by Martin Kleppmann (2017, Trade Paperback)",(27),$9.28 New,,,,,|,,,,,,,,
,,,,Kids toys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pmbok® Guide Ser.: Guide to the Project Management Body of Knowledge (PMBOK® Guide) - Seventh Edition and the Standard for Project Management (ENGLISH) by Project Management Institute (2021, Trade Paperback)",(27),$13.00 New,,,,,55% off,,,,,,,,
,,,,Action figures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Self Heal by Design : The Role of Micro-Organisms for Health by Barbara O'Neill (2018, Trade Paperback)",(22),$10.00 New,,,,,|,,,,,,,,
,,,,Dolls & bears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Confronting the Presidents : No Spin Assessments from Washington to Biden by Bill O'Reilly and Martin Dugard (2024, Hardcover)",(22),$3.18 New,,,,,55% off,,,,,,,,
,,,,Video games & consoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New 2025 Official Red Book Guide Of US Coins Price List Catalog Spiral Whitman,,,,,,,,,,,,,,,
,,,,Health & beauty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wyoming Homecoming: A Novel; Wyoming Men 1335620958, paperback, Diana Palmer 9z",,,,,,,,,,,,,,,
,,,,Baby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Better Homes & Gardens Container Gardening Magazine/Back by Popular Demand 9z,,,,,,,,,,,,,,,
,,,,Business & industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000 BCW Manga /Readers Digest 2 Mil Poly Bags 6 X 7 5/8 Archival Safe Acid Free,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 BCW Life Magazine Backing Boards Certified Acid Free 10 7/8 x 14 New Stock,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Criminal Mischief (A Stone Barrington Novel) - Paperback By Woods, Stuart 9z",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jeffries, Sabrina : How to Woo a Reluctant Lady Book 9z",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blind Tiger - Paperback By Sandra Brown  9z,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scary Stories to Tell in the Dark Series by Alvin Schwartz (Paperback, 1981)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The 48 Laws of Power by Robert Greene (2000, Paperback)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Book of Enoch by Enoch (2017, Hardcover)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Atomic Habits : An Easy and Proven Way to Build Good Habits and Break Bad Ones by James Clear (2018, Hardcover)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Forgiving What You Can't Forget : Discover How to Move on, Make Peace with Painful Memories, and Create a Life That's Beautiful Again by Lysa TerKeurst (2020, Hardcover)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Trading in the Zone : Master the Market with Confidence, Discipline, and a Winning Attitude by Mark Douglas (2001, Hardcover)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Self Heal by Design : The Role of Micro-Organisms for Health by Barbara O'Neill (2018, Trade Paperback)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maybe Someday by Colleen Hoover (2014, Trade Paperback)",,,,,,,,,,,,,,,
